1	1	1	128100	👤	BUST IN SILHOUETTE	COMMON	MISCELLANEOUS_SYMBOLS_AND_PICTOGRAPHS	👤	f09f91a4
2	1	2	128101	👥	BUSTS IN SILHOUETTE	COMMON	MISCELLANEOUS_SYMBOLS_AND_PICTOGRAPHS	👥	f09f91a5
3	2	1	128483	🗣	SPEAKING HEAD IN SILHOUETTE	COMMON	MISCELLANEOUS_SYMBOLS_AND_PICTOGRAPHS	🗣	f09f97a3
4	3	1	128510	🗾	SILHOUETTE OF JAPAN	COMMON	MISCELLANEOUS_SYMBOLS_AND_PICTOGRAPHS	🗾	f09f97be
5	3	2	128511	🗿	MOYAI	COMMON	MISCELLANEOUS_SYMBOLS_AND_PICTOGRAPHS	🗿	f09f97bf
