1	1	1	70	F	LATIN CAPITAL LETTER F	LATIN	BASIC_LATIN	F	46	0046	00000046	U+00046	F	46	0046	00000046	U+00046
2	1	2	71	G	LATIN CAPITAL LETTER G	LATIN	BASIC_LATIN	G	47	0047	00000047	U+00047	G	47	0047	00000047	U+00047
3	1	3	72	H	LATIN CAPITAL LETTER H	LATIN	BASIC_LATIN	H	48	0048	00000048	U+00048	H	48	0048	00000048	U+00048
4	1	4	73	I	LATIN CAPITAL LETTER I	LATIN	BASIC_LATIN	I	49	0049	00000049	U+00049	I	49	0049	00000049	U+00049
5	1	5	74	J	LATIN CAPITAL LETTER J	LATIN	BASIC_LATIN	J	4a	004A	0000004A	U+0004A	J	4a	004A	0000004A	U+0004A
6	1	6	75	K	LATIN CAPITAL LETTER K	LATIN	BASIC_LATIN	K	4b	004B	0000004B	U+0004B	K	4b	004B	0000004B	U+0004B
7	1	7	76	L	LATIN CAPITAL LETTER L	LATIN	BASIC_LATIN	L	4c	004C	0000004C	U+0004C	L	4c	004C	0000004C	U+0004C
8	1	8	77	M	LATIN CAPITAL LETTER M	LATIN	BASIC_LATIN	M	4d	004D	0000004D	U+0004D	M	4d	004D	0000004D	U+0004D
9	1	9	78	N	LATIN CAPITAL LETTER N	LATIN	BASIC_LATIN	N	4e	004E	0000004E	U+0004E	N	4e	004E	0000004E	U+0004E
10	1	10	79	O	LATIN CAPITAL LETTER O	LATIN	BASIC_LATIN	O	4f	004F	0000004F	U+0004F	O	4f	004F	0000004F	U+0004F
11	1	11	80	P	LATIN CAPITAL LETTER P	LATIN	BASIC_LATIN	P	50	0050	00000050	U+00050	P	50	0050	00000050	U+00050
